now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
325,b,,,0.0
349,a,,,0.0
407,b,,,0.0
461,a,turn1,R,17.58
531,b,,,0.0
537,c,,,0.0
540,b,,,0.0
545,a,turn2,L,14.47
789,b,,,0.0
869,a,turn4,R,14.75
1119,b,,,0.0
1184,a,turn6,R,31.05
1305,a,turn7,L,40.05
1430,b,,,0.0
1470,a,turn8,L,3.97
1994,b,,,0.0
2031,c,,,0.0
2069,b,,,0.0
2229,a,turn10,R,31.14
2340,a,turn12,L,38.27
2434,b,,,0.0
2478,a,turn13,R,16.07
2820,c,,,0.0
