now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
316,b,,,0.0
356,a,,,0.0
385,b,,,0.0
407,c,,,0.0
455,a,turn1,R,23.52
548,a,turn2,L,19.47
780,b,,,0.0
855,c,,,0.0
862,b,,,0.0
878,a,turn4,R,13.71
1124,b,,,0.0
1160,a,,,0.0
1161,b,,,0.0
1197,a,turn6,R,32.65
1268,b,,,0.0
1276,c,,,0.0
1290,a,,,0.0
1298,b,,,0.0
1302,a,turn7,L,37.71
1472,a,turn8,L,8.32
1996,b,,,0.0
2039,a,,,0.0
2087,b,,,0.0
2227,a,turn10,R,28.04
2313,b,,,0.0
2338,a,turn12,L,26.35
2432,b,,,0.0
2470,a,turn13,R,16.83
2820,c,,,0.0
