now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
328,b,,,0.0
455,a,turn1,R,24.56
553,a,turn2,L,23.9
772,b,,,0.0
861,a,turn4,R,24.65
1087,b,,,0.0
1114,c,,,0.0
1154,b,,,0.0
1200,a,turn6,R,28.14
1298,a,turn7,L,40.61
1415,b,,,0.0
1459,a,turn8,L,6.81
1980,b,,,0.0
2234,a,turn10,R,50.76
2318,b,,,0.0
2334,a,turn12,L,24.37
2469,b,,,0.0
2482,a,turn13,R,17.49
2820,c,,,0.0
