now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
355,b,,,0.0
445,a,turn1,R,29.26
543,a,turn2,L,15.41
780,b,,,0.0
879,a,turn4,R,23.05
1124,b,,,0.0
1196,a,turn6,R,31.71
1280,b,,,0.0
1301,a,turn7,L,35.27
1421,b,,,0.0
1467,a,turn8,L,6.34
1514,c,,,0.0
1546,a,,,0.0
2029,c,,,0.0
2068,b,,,0.0
2225,a,turn10,R,31.8
2301,b,,,0.0
2335,a,turn12,L,28.98
2475,a,turn13,R,14.94
2820,c,,,0.0
