now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
312,b,,,0.0
318,c,,,0.0
365,b,,,0.0
461,a,turn1,R,31.52
540,a,turn2,L,11.91
768,b,,,0.0
874,a,turn4,R,18.43
935,c,,,0.0
985,a,,,0.0
1085,b,,,0.0
1188,a,turn6,R,22.2
1283,b,,,0.0
1298,a,turn7,L,38.93
1419,b,,,0.0
1457,a,turn8,L,6.24
1990,b,,,0.0
2055,a,,,0.0
2066,b,,,0.0
2088,c,,,0.0
2100,b,,,0.0
2111,c,,,0.0
2164,b,,,0.0
2229,a,turn10,R,25.97
2328,b,,,0.0
2349,a,turn12,L,23.43
2461,b,,,0.0
2484,a,turn13,R,17.39
2820,c,,,0.0
