now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
326,b,,,0.0
444,a,turn1,R,20.22
525,b,,,0.0
548,a,turn2,L,21.36
804,b,,,0.0
867,a,turn4,R,22.3
1107,b,,,0.0
1194,a,turn6,R,29.08
1277,b,,,0.0
1304,a,turn7,L,43.41
1426,b,,,0.0
1441,c,,,0.0
1453,b,,,0.0
1465,a,turn8,L,6.24
2021,b,,,0.0
2107,a,,,0.0
2108,b,,,0.0
2186,c,,,0.0
2235,a,turn10,R,32.46
2336,a,turn12,L,26.54
2452,b,,,0.0
2478,a,turn13,R,14.75
2820,c,,,0.0
