now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
312,c,,,0.0
331,b,,,0.0
369,a,,,0.0
417,b,,,0.0
452,a,turn1,R,27.29
530,b,,,0.0
550,a,turn2,L,10.69
767,b,,,0.0
873,a,turn4,R,19.28
1101,b,,,0.0
1128,c,,,0.0
1156,b,,,0.0
1194,a,turn6,R,27.01
1306,a,turn7,L,37.33
1418,b,,,0.0
1463,a,turn8,L,7.94
2049,b,,,0.0
2227,a,turn10,R,36.68
2317,b,,,0.0
2352,a,turn12,L,28.04
2443,b,,,0.0
2474,a,turn13,R,16.83
2820,c,,,0.0
