now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
354,b,,,0.0
446,a,turn1,R,26.91
550,a,turn2,L,13.99
780,b,,,0.0
786,c,,,0.0
787,b,,,0.0
870,a,turn4,R,18.43
1125,b,,,0.0
1188,a,turn6,R,31.05
1305,a,turn7,L,49.65
1466,a,turn8,L,8.89
1980,c,,,0.0
2009,b,,,0.0
2042,a,,,0.0
2073,b,,,0.0
2235,a,turn10,R,47.51
2318,c,,,0.0
2337,a,turn12,L,31.43
2429,b,,,0.0
2467,a,turn13,R,15.98
2820,c,,,0.0
