now_pos,strategy,turn_id,steer_L/R,steer_degree
0,a,,,0.0
258,c,,,0.0
294,a,,,0.0
322,b,,,0.0
350,a,,,0.0
362,c,,,0.0
411,b,,,0.0
461,a,turn1,R,28.51
544,b,,,0.0
549,a,turn2,L,13.71
790,b,,,0.0
863,a,turn4,R,20.6
1082,b,,,0.0
1189,a,turn6,R,33.4
1289,b,,,0.0
1308,a,turn7,L,60.38
1446,b,,,0.0
1466,a,turn8,L,6.9
1979,b,,,0.0
1982,c,,,0.0
2065,b,,,0.0
2151,a,,,0.0
2153,b,,,0.0
2228,a,turn10,R,24.84
2314,b,,,0.0
2339,a,turn12,L,31.61
2435,b,,,0.0
2475,a,turn13,R,20.32
2820,c,,,0.0
